topic,source_file,publication_id,title,year,url,citations_count
ai-and-sociology,ai-and-sociology_2.json,PB:396959468,"Zero Trust, Full Intelligence: PI/SPI/PHI/NPI/PCI Redaction Strategies for Agentic and Next-Gen AI Ecosystems",2025,https://www.researchgate.net/publication/396959468_Zero_Trust_Full_Intelligence_PISPIPHINPIPCI_Redaction_Strategies_for_Agentic_and_Next-Gen_AI_Ecosystems,3
ai-and-sociology,ai-and-sociology_2.json,PB:392276624,Sociology in crisis,2025,https://www.researchgate.net/publication/392276624_Sociology_in_crisis,3
ai-and-sociology,ai-and-sociology_2.json,PB:371834847,"Sociology of Artificial Intelligence: How AI Will Transform Work, Unemployment and Our Future",2023,https://www.researchgate.net/publication/371834847_Sociology_of_Artificial_Intelligence_How_AI_Will_Transform_Work_Unemployment_and_Our_Future,3
ai-and-sociology,ai-and-sociology_2.json,PB:394094027,AI literacy as a core component of AI education,2025,https://www.researchgate.net/publication/394094027_AI_literacy_as_a_core_component_of_AI_education,3
ai-and-sociology,ai-and-sociology_2.json,PB:393996362,The Promises and Perils of AI for Sociology,2025,https://www.researchgate.net/publication/393996362_The_Promises_and_Perils_of_AI_for_Sociology,2
ai-and-sociology,ai-and-sociology_2.json,PB:388615390,Transforming phenomenological sociology for virtual personalities and virtual worlds,2025,https://www.researchgate.net/publication/388615390_Transforming_phenomenological_sociology_for_virtual_personalities_and_virtual_worlds,2
ai-and-sociology,ai-and-sociology_2.json,PB:388313954,New Frontiers in the New Sociology of Morality: From AI and Inequality to Backgrounds and Material Enablers,2025,https://www.researchgate.net/publication/388313954_New_Frontiers_in_the_New_Sociology_of_Morality_From_AI_and_Inequality_to_Backgrounds_and_Material_Enablers,2
ai-and-sociology,ai-and-sociology_2.json,PB:394539152,"AI-Ageing Assemblages: Multiplicity, Power, and Boundaries in the Co-Constitution of Ageing and Artificial Intelligence",2025,https://www.researchgate.net/publication/394539152_AI-Ageing_Assemblages_Multiplicity_Power_and_Boundaries_in_the_Co-Constitution_of_Ageing_and_Artificial_Intelligence,2
ai-and-sociology,ai-and-sociology_2.json,PB:388930668,The Evolution Of Ai In Cybersecurity: From Rule-Based Systems To Generative Ai,2025,https://www.researchgate.net/publication/388930668_The_Evolution_Of_Ai_In_Cybersecurity_From_Rule-Based_Systems_To_Generative_Ai,2
ai-and-sociology,ai-and-sociology_2.json,PB:392501532,The impact of AI influencer endorsements on consumers’ purchase intentions: the serial mediating roles of mind perception and brand trustworthiness,2025,https://www.researchgate.net/publication/392501532_The_impact_of_AI_influencer_endorsements_on_consumers'_purchase_intentions_the_serial_mediating_roles_of_mind_perception_and_brand_trustworthiness,2
ai-and-sociology,ai-and-sociology_3.json,PB:394180176,Responsible AI in Marketing: AI Booing and AI Washing Cycle of Mistrust,2025,https://www.researchgate.net/publication/394180176_Responsible_AI_in_Marketing_AI_Booing_and_AI_Washing_Cycle_of_Mistrust,2
ai-and-sociology,ai-and-sociology_3.json,PB:396277114,AI SOCIOLOGY: THE FOUNDATIONAL MANIFESTO OF THE SOCIO–ALGORITHMIC THEORY FROM THE UAE TO THE WORLD REDEFINING SOCIOLOGY IN THE AGE OF ALGORITHMS,2025,https://www.researchgate.net/publication/396277114_AI_SOCIOLOGY_THE_FOUNDATIONAL_MANIFESTO_OF_THE_SOCIO-ALGORITHMIC_THEORY_FROM_THE_UAE_TO_THE_WORLD_REDEFINING_SOCIOLOGY_IN_THE_AGE_OF_ALGORITHMS,1
ai-and-sociology,ai-and-sociology_3.json,PB:394982005,The Sociology of Technical Choices in Predictive AI,2025,https://www.researchgate.net/publication/394982005_The_Sociology_of_Technical_Choices_in_Predictive_AI,1
ai-and-sociology,ai-and-sociology_3.json,PB:393367762,Is data material? Toward an environmental sociology of AI,2025,https://www.researchgate.net/publication/393367762_Is_data_material_Toward_an_environmental_sociology_of_AI,1
ai-and-sociology,ai-and-sociology_3.json,PB:397273549,Assessing instructor-AI cooperation for grading essay-type questions in an introductory sociology course,2025,https://www.researchgate.net/publication/397273549_Assessing_instructor-AI_cooperation_for_grading_essay-type_questions_in_an_introductory_sociology_course,1
ai-and-sociology,ai-and-sociology_3.json,PB:396631704,Dialogues Towards Sociologies of Generative AI,2025,https://www.researchgate.net/publication/396631704_Dialogues_Towards_Sociologies_of_Generative_AI,1
ai-and-sociology,ai-and-sociology_3.json,PB:394283763,Unblackboxing How Sociotemporalities Inform AI Accountability: The Case of Targeted Advertising,2025,https://www.researchgate.net/publication/394283763_Unblackboxing_How_Sociotemporalities_Inform_AI_Accountability_The_Case_of_Targeted_Advertising,1
ai-and-sociology,ai-and-sociology_3.json,PB:393257818,"Governance, Legislation, Regulations, Sociology, and Ethics",2025,https://www.researchgate.net/publication/393257818_Governance_Legislation_Regulations_Sociology_and_Ethics,1
ai-and-sociology,ai-and-sociology_3.json,PB:393915164,Towards a Socioeconomics of Hype: Hype Dynamics and Symbolic Boundary Work Within the Speculative AI Bubble,2025,https://www.researchgate.net/publication/393915164_Towards_a_Socioeconomics_of_Hype_Hype_Dynamics_and_Symbolic_Boundary_Work_Within_the_Speculative_AI_Bubble,1
ai-and-sociology,ai-and-sociology_3.json,PB:387145783,The Anthropology and Sociology of Religion and AI,2024,https://www.researchgate.net/publication/387145783_The_Anthropology_and_Sociology_of_Religion_and_AI,1
ai-and-sociology,ai-and-sociology_1.json,PB:390527396,"Overview of AI and communication for 6G network: fundamentals, challenges, and future research opportunities",2025,https://www.researchgate.net/publication/390527396_Overview_of_AI_and_communication_for_6G_network_fundamentals_challenges_and_future_research_opportunities,66
